philip_statistic,on_stock,name,quote,cut_off,code
"
                                0.24百萬
                            ","
                                2017",瑩嵐集團有限公司,0.33-0.47,"
                                2017",8470
"
                                0.4百萬
                            ","
                                2017",大洋環球控股有限公司,1.08-1.28,"
                                2017",8476
"
                                2.5百萬
                            ","
                                2017",眾誠能源控股有限公司,2.18 ¡V 2.78,"
                                2017",2337
"
                                1億
                            ","
                                2017",高萌科技集團有限公司,0.48-0.72,"
                                2017",8065
"
                                0.35百萬
                            ","
                                2017",永勤集團（控股）有限公司,0.22-0.34,"
                                2017",8275
"
                                0.17百萬
                            ","
                                2017",舍圖控股有限公司,0.20-0.24,"
                                2017",8392
"
                                0.42百萬
                            ","
                                2017",德斯控股有限公司,0.40-0.48,"
                                2017",8437
"
                                0.4百萬
                            ","
                                2017",健升物流（中國）控股有限公司,0.25-0.35,"
                                2017",8457
"
                                0.16百萬
                            ","
                                2017",飛霓控股有限公司,0.50,"
                                2017",8480
"
                                4.6百萬
                            ","
                                2017",致浩達控股有限公司,0.34-0.42,"
                                2017",1707
"
                                6.1億
                            ","
                                2017",河南金馬能源股份有限公司,2.11-3.39,"
                                2017",6885
"
                                34億
                            ","
                                2017",童園國際有限公司,0.4-0.5,"
                                2017",3830
philip_statistic,on_stock,name,quote,cut_off,code
"
                                0.24百萬
                            ","
                                2017,10-25
                            ",瑩嵐集團有限公司,0.33-0.47,"
                                2017,10-10
                            ",8470
"
                                0.4百萬
                            ","
                                2017,10-19
                            ",大洋環球控股有限公司,1.08-1.28,"
                                2017,10-09
                            ",8476
"
                                2.5百萬
                            ","
                                2017,10-16
                            ",眾誠能源控股有限公司,2.18 ¡V 2.78,"
                                2017,10-06
                            ",2337
"
                                1億
                            ","
                                2017,10-16
                            ",高萌科技集團有限公司,0.48-0.72,"
                                2017,10-04
                            ",8065
"
                                0.35百萬
                            ","
                                2017,10-16
                            ",永勤集團（控股）有限公司,0.22-0.34,"
                                2017,10-04
                            ",8275
"
                                0.17百萬
                            ","
                                2017,10-16
                            ",舍圖控股有限公司,0.20-0.24,"
                                2017,10-04
                            ",8392
"
                                0.42百萬
                            ","
                                2017,10-13
                            ",德斯控股有限公司,0.40-0.48,"
                                2017,10-04
                            ",8437
"
                                0.4百萬
                            ","
                                2017,10-18
                            ",健升物流（中國）控股有限公司,0.25-0.35,"
                                2017,10-04
                            ",8457
"
                                0.16百萬
                            ","
                                2017,10-16
                            ",飛霓控股有限公司,0.50,"
                                2017,10-04
                            ",8480
"
                                4.6百萬
                            ","
                                2017,10-12
                            ",致浩達控股有限公司,0.34-0.42,"
                                2017,10-03
                            ",1707
"
                                6.1億
                            ","
                                2017,10-10
                            ",河南金馬能源股份有限公司,2.11-3.39,"
                                2017,9-28
                            ",6885
"
                                34億
                            ","
                                2017,9-21
                            ",童園國際有限公司,0.4-0.5,"
                                2017,9-13
                            ",3830
philip_statistic,on_stock,name,quote,cut_off,code
"
                                0.24百萬
                            ","
                                2017,10-25
                            ",瑩嵐集團有限公司,0.33-0.47,"
                                2017,10-10
                            ",8470
"
                                0.4百萬
                            ","
                                2017,10-19
                            ",大洋環球控股有限公司,1.08-1.28,"
                                2017,10-09
                            ",8476
"
                                2.5百萬
                            ","
                                2017,10-16
                            ",眾誠能源控股有限公司,2.18 ¡V 2.78,"
                                2017,10-06
                            ",2337
"
                                1億
                            ","
                                2017,10-16
                            ",高萌科技集團有限公司,0.48-0.72,"
                                2017,10-04
                            ",8065
"
                                0.35百萬
                            ","
                                2017,10-16
                            ",永勤集團（控股）有限公司,0.22-0.34,"
                                2017,10-04
                            ",8275
"
                                0.17百萬
                            ","
                                2017,10-16
                            ",舍圖控股有限公司,0.20-0.24,"
                                2017,10-04
                            ",8392
"
                                0.42百萬
                            ","
                                2017,10-13
                            ",德斯控股有限公司,0.40-0.48,"
                                2017,10-04
                            ",8437
"
                                0.4百萬
                            ","
                                2017,10-18
                            ",健升物流（中國）控股有限公司,0.25-0.35,"
                                2017,10-04
                            ",8457
